iteration,mean_reward,actor_loss,critic_loss,entropy,fill_rate
15,-1401.3354,-0.0007244728490590087,29630.224987399193,9.58456326300098,6.9166064
153,-1211.2014,-0.001072310820041645,36097.8533266129,9.23625555346089,3.4653068
16,-1401.3354,-0.0013596354082467095,53574.31303553427,9.55367632835142,2.391094
154,-1287.8864,-0.0009873338314073702,9375.465056388608,9.231057805399741,7.142001
17,-1419.4451,-0.0009933561875274585,14087.178230531754,9.594365765971522,7.028717
155,-1289.5664,0.00024932797908061935,38698.78881048387,9.227025316607568,7.742691
18,-1386.1868,-0.001100727777567602,45842.1185420867,9.643390747808642,7.050151
156,-1289.5664,-0.001196847654007856,21747.95288873488,9.231837188043903,4.546702
19,-1386.1868,-0.0017385937408694336,33811.106728830644,9.635552583202239,3.1690836
157,-1249.2142,-6.865640921938805e-05,15406.558373235886,9.212588417914606,8.737355
20,-1349.3342,5.5930562197200714e-05,16972.854263797883,9.628235078627064,7.148594
158,-1249.2142,-0.0006425182500313367,46615.27756426411,9.283073356074672,3.3751786
21,-1348.4744,-0.0007427036461810912,59958.56127142137,9.639640154377107,7.990372
159,-1313.3231,-0.001467439293440792,12106.183113344254,9.405929757702735,8.096009
22,-1348.4744,-0.0010703967869161598,20377.339150705644,9.729181105090726,2.6894271
160,-1281.0382,-0.0005965083987722474,28876.459299395163,9.432397504006662,8.043331
23,-1388.0017,-6.68998897796677e-05,33925.359406502015,9.792143375642839,6.554556
161,-1281.0382,-8.073502460554723e-05,33489.66097530242,9.450360521193474,3.7316263
24,-1388.0017,-0.0008302868283804386,45260.31023185484,9.8268934834388,2.704692
162,-1314.6727,-0.0006258822001156307,9450.989092426915,9.50826254198628,8.073521
25,-1326.2651,-0.0013848748058080673,13001.607114730343,9.815522201599613,7.0464907
163,-1225.3694,-0.0004941367679425786,38782.284148185485,9.562161399472144,9.426898
26,-1371.0706,-2.883048728108406e-05,47145.72448336693,9.831035129485592,8.379298
164,-1225.3694,-0.0008305709042976941,18407.116108555947,9.583006789607387,2.7122676
27,-1371.0706,-3.628597234285647e-05,29011.508804813508,9.84071223966537,3.7160993
165,-1286.4514,-0.0029068459050669787,18940.842395413307,9.537659022115893,7.788891
